anime,Número de Episódios,Votos Totais,Avaliação,genre_action,genre_adventure,genre_comedy,genre_drama,genre_family,genre_fantasy,genre_food,genre_harem,genre_historical,genre_horror,genre_idols,genre_isekai,genre_jdrama,genre_magical girls,genre_martial arts,genre_mecha,genre_music,genre_mystery,genre_post-apocalyptic,genre_romance,genre_sci-fi,genre_seinen,genre_sgdrama,genre_shojo,genre_shonen,genre_slice of life,genre_sports,genre_supernatural,genre_thriller,genre_action_Votos Totais por Gênero,genre_action_Contagem de Animes,genre_adventure_Votos Totais por Gênero,genre_adventure_Contagem de Animes,genre_comedy_Votos Totais por Gênero,genre_comedy_Contagem de Animes,genre_drama_Votos Totais por Gênero,genre_drama_Contagem de Animes,genre_family_Votos Totais por Gênero,genre_family_Contagem de Animes,genre_fantasy_Votos Totais por Gênero,genre_fantasy_Contagem de Animes,genre_food_Votos Totais por Gênero,genre_food_Contagem de Animes,genre_harem_Votos Totais por Gênero,genre_harem_Contagem de Animes,genre_historical_Votos Totais por Gênero,genre_historical_Contagem de Animes,genre_horror_Votos Totais por Gênero,genre_horror_Contagem de Animes,genre_idols_Votos Totais por Gênero,genre_idols_Contagem de Animes,genre_isekai_Votos Totais por Gênero,genre_isekai_Contagem de Animes,genre_jdrama_Votos Totais por Gênero,genre_jdrama_Contagem de Animes,genre_magical girls_Votos Totais por Gênero,genre_magical girls_Contagem de Animes,genre_martial arts_Votos Totais por Gênero,genre_martial arts_Contagem de Animes,genre_mecha_Votos Totais por Gênero,genre_mecha_Contagem de Animes,genre_music_Votos Totais por Gênero,genre_music_Contagem de Animes,genre_mystery_Votos Totais por Gênero,genre_mystery_Contagem de Animes,genre_post-apocalyptic_Votos Totais por Gênero,genre_post-apocalyptic_Contagem de Animes,genre_romance_Votos Totais por Gênero,genre_romance_Contagem de Animes,genre_sci-fi_Votos Totais por Gênero,genre_sci-fi_Contagem de Animes,genre_seinen_Votos Totais por Gênero,genre_seinen_Contagem de Animes,genre_sgdrama_Votos Totais por Gênero,genre_sgdrama_Contagem de Animes,genre_shojo_Votos Totais por Gênero,genre_shojo_Contagem de Animes,genre_shonen_Votos Totais por Gênero,genre_shonen_Contagem de Animes,genre_slice of life_Votos Totais por Gênero,genre_slice of life_Contagem de Animes,genre_sports_Votos Totais por Gênero,genre_sports_Contagem de Animes,genre_supernatural_Votos Totais por Gênero,genre_supernatural_Contagem de Animes,genre_thriller_Votos Totais por Gênero,genre_thriller_Contagem de Animes
Natsume Yuujinchou,39,5158,4.89,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Myself; Yourself,0,4588,4.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Blue Exorcist,12,4498,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Durarara!!,62,4042,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Time of Eve,6,3864,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Tegami Bachi Letter Bee,0,3593,4.83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
School Days,0,3484,4.13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Sword Art Online,89,3458,4.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
The World God Only Knows,36,3443,4.77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Demon King Daimao,0,3420,4.72,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Neo Angelique Abyss,0,3258,4.75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Happiness!,0,3069,4.73,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Linebarrels of Iron,0,3026,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Beelzebub,0,2928,4.79,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Nogizaka Haruka no Himitsu,0,2504,4.85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Chi's Sweet Home - Chi's New Address,0,2467,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Hanasakeru Seishonen,0,2461,4.81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Saki,38,2367,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Slam Dunk,0,2351,4.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
The Tower of DRUAGA -the Aegis of URUK-,0,2247,4.75,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Hunter x Hunter,148,2244,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
11eyes,0,2137,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Attack on Titan,60,2014,4.73,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Koihime Musou,0,1979,4.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Black Clover,127,1941,3.84,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
H2O: Footprints in the Sand,0,1889,4.77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
BLASSREITER,0,1869,4.63,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Another,12,1859,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Glass Mask,0,1709,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
The Tower of DRUAGA -the Sword of URUK-,0,1645,4.71,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
5 Centímetros por Segundo,0,1518,4.84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
Dragon Crisis,0,1514,4.71,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75344,417,42110,222,97334,464,92618,329,8,2,72775,301,27,1,42440,88,6107,56,623,1,1085,34,8708,37,812,3,4925,22,14,5,10159,70,15494,52,9464,69,7652,28,98614,276,20709,220,17776,99,17,4,4058,40,17590,120,64295,325,18372,58,31174,197,9577,63
